id,name,type,servesPopulation,city,phone,address
35,Art House Recovery Bridge Housing (LA CADA),transitional,men,Los Angeles,,"Los Angeles, CA"
13,Beachfront Sober Living,sober_living,coed,Orange County,,"Orange County, CA"
32,Bran Life Recovery,residential,men,Costa Mesa,,"Costa Mesa, CA 92627"
19,Exodus Recovery,residential,men,Los Angeles,,"Los Angeles, CA"
34,La Jolla Recovery,residential,men,San Diego,,"San Diego, CA"
37,Midnight Mission - HomeLight Family Living,transitional,men,Los Angeles,,"Los Angeles, CA"
20,Pacifica Recovery,residential,men,Los Angeles,,"Los Angeles, CA"
33,Riverside Recovery LA,residential,men,Riverside,,"Riverside, CA"
21,Salvation Army - Pasadena,residential,men,Santa Monica,,"1680 19th St, Santa Monica, CA 90404"
30,Silverado Residential Center,residential,men,Orange County,,"Orange County, CA"
10,The Nook Sober Living,sober_living,coed,West Los Angeles,,"West Los Angeles, CA"
36,Wellness Housing,transitional,coed,Downtown Los Angeles,,"Downtown Los Angeles, CA"
